Date,HiveID,ZipCode,BeeCount,BroodCount,HoneyCount
2020-12-06,71,02666,35,,
2019-12-22,459,01742,4,3,8
2019-12-18,2537,01748,18,,
2019-12-18,1419,02543,15,,
2019-12-18,2564,02540,10,,
2019-12-18,1303,02482,8,,
2019-12-17,1724,02124,22,,
2019-12-17,2451,02026,16,,
2019-12-17,1757,02492,5,,
2019-12-17,2555,02109,2,,
2019-12-16,1944,02045,25,,
2019-12-16,2706,02066,24,,
2019-12-16,2256,01741,18,,
2019-12-16,2316,02748,10,,
2019-12-16,2076,01803,9,,
2019-12-16,2319,02025,6,,
2019-12-16,41,02748,3,,
2019-12-13,992,02666,20,,
2019-12-12,2646,02090,23,,